year,month,date_of_month,date,day_of_week,births
2000,1,1,1/1/00,Sat,9083
2000,1,2,1/2/00,Sun,8006
2000,1,3,1/3/00,Mon,11363
2000,1,4,1/4/00,Tues,13032
2000,1,5,1/5/00,Wed,12558
2000,1,6,1/6/00,Thurs,12466
2000,1,7,1/7/00,Fri,12516
2000,1,8,1/8/00,Sat,8934
2000,1,9,1/9/00,Sun,7949
2000,1,10,1/10/00,Mon,11668
2000,1,11,1/11/00,Tues,12611
2000,1,12,1/12/00,Wed,12398
2000,1,13,1/13/00,Thurs,11815
2000,1,14,1/14/00,Fri,12180
2000,1,15,1/15/00,Sat,8525
2000,1,16,1/16/00,Sun,7657
2000,1,17,1/17/00,Mon,10824
2000,1,18,1/18/00,Tues,12350
2000,1,19,1/19/00,Wed,12405
2000,1,20,1/20/00,Thurs,12506
2000,1,21,1/21/00,Fri,11953
2000,1,22,1/22/00,Sat,8855
2000,1,23,1/23/00,Sun,7856
2000,1,24,1/24/00,Mon,11449
2000,1,25,1/25/00,Tues,12593
2000,1,26,1/26/00,Wed,12143
2000,1,27,1/27/00,Thurs,12408
2000,1,28,1/28/00,Fri,11934
2000,1,29,1/29/00,Sat,8805
2000,1,30,1/30/00,Sun,7764
2000,1,31,1/31/00,Mon,11133
2000,2,1,2/1/00,Tues,12614
2000,2,2,2/2/00,Wed,12465
2000,2,3,2/3/00,Thurs,12062
2000,2,4,2/4/00,Fri,12035
2000,2,5,2/5/00,Sat,8624
2000,2,6,2/6/00,Sun,7862
2000,2,7,2/7/00,Mon,11630
2000,2,8,2/8/00,Tues,12879
2000,2,9,2/9/00,Wed,12315
2000,2,10,2/10/00,Thurs,12612
2000,2,11,2/11/00,Fri,12411
2000,2,12,2/12/00,Sat,8836
2000,2,13,2/13/00,Sun,7933
2000,2,14,2/14/00,Mon,12152
2000,2,15,2/15/00,Tues,13017
2000,2,16,2/16/00,Wed,12504
2000,2,17,2/17/00,Thurs,12520
2000,2,18,2/18/00,Fri,12406
2000,2,19,2/19/00,Sat,8861
2000,2,20,2/20/00,Sun,7943
2000,2,21,2/21/00,Mon,10610
2000,2,22,2/22/00,Tues,12664
2000,2,23,2/23/00,Wed,12252
2000,2,24,2/24/00,Thurs,12423
2000,2,25,2/25/00,Fri,12204
2000,2,26,2/26/00,Sat,9026
2000,2,27,2/27/00,Sun,7836
2000,2,28,2/28/00,Mon,11455
2000,2,29,2/29/00,Tues,11895
2000,3,1,3/1/00,Wed,12672
2000,3,2,3/2/00,Thurs,12524
2000,3,3,3/3/00,Fri,12390
2000,3,4,3/4/00,Sat,9054
2000,3,5,3/5/00,Sun,7734
2000,3,6,3/6/00,Mon,11375
2000,3,7,3/7/00,Tues,12420
2000,3,8,3/8/00,Wed,12338
2000,3,9,3/9/00,Thurs,12615
2000,3,10,3/10/00,Fri,12152
2000,3,11,3/11/00,Sat,8822
2000,3,12,3/12/00,Sun,7937
2000,3,13,3/13/00,Mon,11157
2000,3,14,3/14/00,Tues,12773
2000,3,15,3/15/00,Wed,12428
2000,3,16,3/16/00,Thurs,12431
2000,3,17,3/17/00,Fri,12385
2000,3,18,3/18/00,Sat,8677
2000,3,19,3/19/00,Sun,7782
2000,3,20,3/20/00,Mon,11595
2000,3,21,3/21/00,Tues,12689
2000,3,22,3/22/00,Wed,12272
2000,3,23,3/23/00,Thurs,12396
2000,3,24,3/24/00,Fri,12327
2000,3,25,3/25/00,Sat,9155
2000,3,26,3/26/00,Sun,7815
2000,3,27,3/27/00,Mon,11291
2000,3,28,3/28/00,Tues,12650
2000,3,29,3/29/00,Wed,12077
2000,3,30,3/30/00,Thurs,12071
2000,3,31,3/31/00,Fri,11820
2000,4,1,4/1/00,Sat,8388
2000,4,2,4/2/00,Sun,7540
2000,4,3,4/3/00,Mon,11397
2000,4,4,4/4/00,Tues,12797
2000,4,5,4/5/00,Wed,12209
2000,4,6,4/6/00,Thurs,12192
2000,4,7,4/7/00,Fri,12213
2000,4,8,4/8/00,Sat,8743
2000,4,9,4/9/00,Sun,7759
2000,4,10,4/10/00,Mon,11333
2000,4,11,4/11/00,Tues,12850
2000,4,12,4/12/00,Wed,12545
2000,4,13,4/13/00,Thurs,11907
2000,4,14,4/14/00,Fri,12053
2000,4,15,4/15/00,Sat,8887
2000,4,16,4/16/00,Sun,7859
2000,4,17,4/17/00,Mon,11322
2000,4,18,4/18/00,Tues,12783
2000,4,19,4/19/00,Wed,12562
2000,4,20,4/20/00,Thurs,12301
2000,4,21,4/21/00,Fri,11257
2000,4,22,4/22/00,Sat,8367
2000,4,23,4/23/00,Sun,7483
2000,4,24,4/24/00,Mon,11309
2000,4,25,4/25/00,Tues,12488
2000,4,26,4/26/00,Wed,12245
2000,4,27,4/27/00,Thurs,12235
2000,4,28,4/28/00,Fri,11989
2000,4,29,4/29/00,Sat,8703
2000,4,30,4/30/00,Sun,7641
2000,5,1,5/1/00,Mon,11621
2000,5,2,5/2/00,Tues,12934
2000,5,3,5/3/00,Wed,12259
2000,5,4,5/4/00,Thurs,12434
2000,5,5,5/5/00,Fri,12539
2000,5,6,5/6/00,Sat,8814
2000,5,7,5/7/00,Sun,7797
2000,5,8,5/8/00,Mon,11604
2000,5,9,5/9/00,Tues,12744
2000,5,10,5/10/00,Wed,12607
2000,5,11,5/11/00,Thurs,12442
2000,5,12,5/12/00,Fri,12132
2000,5,13,5/13/00,Sat,8747
2000,5,14,5/14/00,Sun,7617
2000,5,15,5/15/00,Mon,11587
2000,5,16,5/16/00,Tues,12898
2000,5,17,5/17/00,Wed,12729
2000,5,18,5/18/00,Thurs,12580
2000,5,19,5/19/00,Fri,12174
2000,5,20,5/20/00,Sat,8673
2000,5,21,5/21/00,Sun,7887
2000,5,22,5/22/00,Mon,11582
2000,5,23,5/23/00,Tues,13097
2000,5,24,5/24/00,Wed,12669
2000,5,25,5/25/00,Thurs,13026
2000,5,26,5/26/00,Fri,12726
2000,5,27,5/27/00,Sat,8991
2000,5,28,5/28/00,Sun,7873
2000,5,29,5/29/00,Mon,8272
2000,5,30,5/30/00,Tues,11954
2000,5,31,5/31/00,Wed,12941
2000,6,1,6/1/00,Thurs,13363
2000,6,2,6/2/00,Fri,12695
2000,6,3,6/3/00,Sat,8940
2000,6,4,6/4/00,Sun,7983
2000,6,5,6/5/00,Mon,11647
2000,6,6,6/6/00,Tues,12765
2000,6,7,6/7/00,Wed,12474
2000,6,8,6/8/00,Thurs,12751
2000,6,9,6/9/00,Fri,12504
2000,6,10,6/10/00,Sat,9134
2000,6,11,6/11/00,Sun,8116
2000,6,12,6/12/00,Mon,11848
2000,6,13,6/13/00,Tues,12683
2000,6,14,6/14/00,Wed,12849
2000,6,15,6/15/00,Thurs,12798
2000,6,16,6/16/00,Fri,12727
2000,6,17,6/17/00,Sat,9143
2000,6,18,6/18/00,Sun,8162
2000,6,19,6/19/00,Mon,11649
2000,6,20,6/20/00,Tues,13017
2000,6,21,6/21/00,Wed,12729
2000,6,22,6/22/00,Thurs,12809
2000,6,23,6/23/00,Fri,12603
2000,6,24,6/24/00,Sat,9094
2000,6,25,6/25/00,Sun,8178
2000,6,26,6/26/00,Mon,12164
2000,6,27,6/27/00,Tues,13354
2000,6,28,6/28/00,Wed,13033
2000,6,29,6/29/00,Thurs,13462
2000,6,30,6/30/00,Fri,13225
2000,7,1,7/1/00,Sat,9376
2000,7,2,7/2/00,Sun,8100
2000,7,3,7/3/00,Mon,11345
2000,7,4,7/4/00,Tues,9550
2000,7,5,7/5/00,Wed,12346
2000,7,6,7/6/00,Thurs,13853
2000,7,7,7/7/00,Fri,13658
2000,7,8,7/8/00,Sat,9631
2000,7,9,7/9/00,Sun,8586
2000,7,10,7/10/00,Mon,12420
2000,7,11,7/11/00,Tues,13584
2000,7,12,7/12/00,Wed,12827
2000,7,13,7/13/00,Thurs,12980
2000,7,14,7/14/00,Fri,13230
2000,7,15,7/15/00,Sat,9627
2000,7,16,7/16/00,Sun,8423
2000,7,17,7/17/00,Mon,12053
2000,7,18,7/18/00,Tues,13663
2000,7,19,7/19/00,Wed,13001
2000,7,20,7/20/00,Thurs,13173
2000,7,21,7/21/00,Fri,13027
2000,7,22,7/22/00,Sat,9463
2000,7,23,7/23/00,Sun,8166
2000,7,24,7/24/00,Mon,12128
2000,7,25,7/25/00,Tues,13176
2000,7,26,7/26/00,Wed,12931
2000,7,27,7/27/00,Thurs,13155
2000,7,28,7/28/00,Fri,12890
2000,7,29,7/29/00,Sat,9465
2000,7,30,7/30/00,Sun,8444
2000,7,31,7/31/00,Mon,11860
2000,8,1,8/1/00,Tues,13356
2000,8,2,8/2/00,Wed,12835
2000,8,3,8/3/00,Thurs,13092
2000,8,4,8/4/00,Fri,12940
2000,8,5,8/5/00,Sat,9398
2000,8,6,8/6/00,Sun,8350
2000,8,7,8/7/00,Mon,11864
2000,8,8,8/8/00,Tues,13693
2000,8,9,8/9/00,Wed,13170
2000,8,10,8/10/00,Thurs,12953
2000,8,11,8/11/00,Fri,12729
2000,8,12,8/12/00,Sat,9305
2000,8,13,8/13/00,Sun,8313
2000,8,14,8/14/00,Mon,11927
2000,8,15,8/15/00,Tues,13374
2000,8,16,8/16/00,Wed,13174
2000,8,17,8/17/00,Thurs,13099
2000,8,18,8/18/00,Fri,13124
2000,8,19,8/19/00,Sat,9276
2000,8,20,8/20/00,Sun,8346
2000,8,21,8/21/00,Mon,12003
2000,8,22,8/22/00,Tues,13406
2000,8,23,8/23/00,Wed,12929
2000,8,24,8/24/00,Thurs,13021
2000,8,25,8/25/00,Fri,12926
2000,8,26,8/26/00,Sat,9341
2000,8,27,8/27/00,Sun,8240
2000,8,28,8/28/00,Mon,12074
2000,8,29,8/29/00,Tues,13237
2000,8,30,8/30/00,Wed,13111
2000,8,31,8/31/00,Thurs,13287
2000,9,1,9/1/00,Fri,13145
2000,9,2,9/2/00,Sat,9265
2000,9,3,9/3/00,Sun,8248
2000,9,4,9/4/00,Mon,8603
2000,9,5,9/5/00,Tues,12200
2000,9,6,9/6/00,Wed,13917
2000,9,7,9/7/00,Thurs,13512
2000,9,8,9/8/00,Fri,13487
2000,9,9,9/9/00,Sat,9860
2000,9,10,9/10/00,Sun,8552
2000,9,11,9/11/00,Mon,12405
2000,9,12,9/12/00,Tues,13649
2000,9,13,9/13/00,Wed,13299
2000,9,14,9/14/00,Thurs,13739
2000,9,15,9/15/00,Fri,13552
2000,9,16,9/16/00,Sat,9780
2000,9,17,9/17/00,Sun,8683
2000,9,18,9/18/00,Mon,12554
2000,9,19,9/19/00,Tues,13850
2000,9,20,9/20/00,Wed,13775
2000,9,21,9/21/00,Thurs,13350
2000,9,22,9/22/00,Fri,13189
2000,9,23,9/23/00,Sat,9494
2000,9,24,9/24/00,Sun,8539
2000,9,25,9/25/00,Mon,12432
2000,9,26,9/26/00,Tues,13540
2000,9,27,9/27/00,Wed,13467
2000,9,28,9/28/00,Thurs,13515
2000,9,29,9/29/00,Fri,13045
2000,9,30,9/30/00,Sat,9335
2000,10,1,10/1/00,Sun,8453
2000,10,2,10/2/00,Mon,12223
2000,10,3,10/3/00,Tues,13245
2000,10,4,10/4/00,Wed,13154
2000,10,5,10/5/00,Thurs,13288
2000,10,6,10/6/00,Fri,12774
2000,10,7,10/7/00,Sat,9131
2000,10,8,10/8/00,Sun,8119
2000,10,9,10/9/00,Mon,11343
2000,10,10,10/10/00,Tues,13124
2000,10,11,10/11/00,Wed,12907
2000,10,12,10/12/00,Thurs,13038
2000,10,13,10/13/00,Fri,11723
2000,10,14,10/14/00,Sat,9163
2000,10,15,10/15/00,Sun,8156
2000,10,16,10/16/00,Mon,12001
2000,10,17,10/17/00,Tues,13106
2000,10,18,10/18/00,Wed,12816
2000,10,19,10/19/00,Thurs,12502
2000,10,20,10/20/00,Fri,12471
2000,10,21,10/21/00,Sat,8956
2000,10,22,10/22/00,Sun,7938
2000,10,23,10/23/00,Mon,11810
2000,10,24,10/24/00,Tues,12995
2000,10,25,10/25/00,Wed,12780
2000,10,26,10/26/00,Thurs,12787
2000,10,27,10/27/00,Fri,12333
2000,10,28,10/28/00,Sat,8978
2000,10,29,10/29/00,Sun,8124
2000,10,30,10/30/00,Mon,11558
2000,10,31,10/31/00,Tues,11372
2000,11,1,11/1/00,Wed,12927
2000,11,2,11/2/00,Thurs,13066
2000,11,3,11/3/00,Fri,12630
2000,11,4,11/4/00,Sat,9084
2000,11,5,11/5/00,Sun,8078
2000,11,6,11/6/00,Mon,11862
2000,11,7,11/7/00,Tues,12822
2000,11,8,11/8/00,Wed,12829
2000,11,9,11/9/00,Thurs,12778
2000,11,10,11/10/00,Fri,12554
2000,11,11,11/11/00,Sat,9318
2000,11,12,11/12/00,Sun,8070
2000,11,13,11/13/00,Mon,11480
2000,11,14,11/14/00,Tues,13153
2000,11,15,11/15/00,Wed,12953
2000,11,16,11/16/00,Thurs,13061
2000,11,17,11/17/00,Fri,12888
2000,11,18,11/18/00,Sat,9137
2000,11,19,11/19/00,Sun,8077
2000,11,20,11/20/00,Mon,12974
2000,11,21,11/21/00,Tues,13991
2000,11,22,11/22/00,Wed,12420
2000,11,23,11/23/00,Thurs,8144
2000,11,24,11/24/00,Fri,9805
2000,11,25,11/25/00,Sat,8537
2000,11,26,11/26/00,Sun,7950
2000,11,27,11/27/00,Mon,12175
2000,11,28,11/28/00,Tues,13799
2000,11,29,11/29/00,Wed,13114
2000,11,30,11/30/00,Thurs,12818
2000,12,1,12/1/00,Fri,12545
2000,12,2,12/2/00,Sat,8914
